split,round,acc_mean,acc_std
spell_char_del_h,3,0.8014285714285716,0.0408831086321548
spell_char_del_h,4,0.7371428571428572,0.05739231264743047
spell_char_swap_h,0,0.6526315789473683,0.11115620218091025
spell_char_swap_h,1,0.9954887218045112,0.009022556390977448
spell_char_swap_h,2,0.9248120300751879,0.0506612948208211
spell_char_swap_h,3,0.9413533834586467,0.02829306424395005
spell_char_swap_h,4,0.8097744360902256,0.08922059358485386
spell_leet_h,0,0.25722543352601157,0.055397922348477256
spell_leet_h,1,0.9716763005780347,0.01495088688598561
spell_leet_h,2,0.9352601156069363,0.026209905315039615
spell_leet_h,3,0.961849710982659,0.007402455765818335
spell_leet_h,4,0.9283236994219652,0.043116892945598874
spell_space_add_h,0,0.1635838150289017,0.05751662934846589
spell_space_add_h,1,0.9982658959537571,0.0026488876849455963
spell_space_add_h,2,0.9080924855491329,0.06470116513496423
spell_space_add_h,3,0.9479768786127167,0.06805115677577543
spell_space_add_h,4,0.9473988439306359,0.0375900358101482
spell_space_del_h,0,0.5822695035460994,0.072496702286812
spell_space_del_h,1,0.9524822695035461,0.030595254766131896
spell_space_del_h,2,0.8127659574468085,0.0374210098107033
spell_space_del_h,3,0.8297872340425533,0.02941339199053578
spell_space_del_h,4,0.7489361702127659,0.03701556978921956
target_group_nh,0,0.814516129032258,0.07435116497816843
target_group_nh,1,0.532258064516129,0.08892934678767886
target_group_nh,2,0.9774193548387098,0.017960530202677474
target_group_nh,3,0.9983870967741936,0.004838709677419351
target_group_nh,4,0.9951612903225806,0.010327619737794908
target_indiv_nh,0,0.936923076923077,0.057337369703336076
target_indiv_nh,1,0.9015384615384615,0.03717860299567562
target_indiv_nh,2,1.0,0.0
target_indiv_nh,3,1.0,0.0
target_indiv_nh,4,1.0,0.0
target_obj_nh,0,0.9984615384615385,0.004615384615384599
target_obj_nh,1,0.8015384615384615,0.04689154047424053
target_obj_nh,2,1.0,0.0
target_obj_nh,3,1.0,0.0
target_obj_nh,4,1.0,0.0
threat_dir_h,0,0.6669172932330827,0.0901660204526966
threat_dir_h,1,0.9639097744360902,0.022253606897667273
threat_dir_h,2,0.9834586466165414,0.01203007518796992
threat_dir_h,3,0.9639097744360903,0.0160557567699719
threat_dir_h,4,0.9518796992481203,0.02857142857142856
threat_norm_h,0,0.7942857142857143,0.08048323440573298
threat_norm_h,1,0.9957142857142859,0.006546536707079777
threat_norm_h,2,0.9842857142857143,0.011866605518454398
threat_norm_h,3,0.9550000000000001,0.02495915029950878
threat_norm_h,4,0.9471428571428572,0.029829447168315856
